net,wires
"(24, 21)","[(1, 1, 0), (1, 2, 0), (1, 3, 0)]"
"(14, 20)","[(13, 5, 0), (13, 4, 0), (14, 4, 0), (15, 4, 0)]"
"(5, 1)","[(3, 10, 0), (2, 10, 0), (1, 10, 0), (1, 11, 0)]"
"(19, 14)","[(11, 4, 0), (11, 5, 0), (12, 5, 0), (13, 5, 0)]"
"(12, 8)","[(11, 7, 0), (11, 8, 0), (11, 9, 0), (12, 9, 0)]"
"(3, 6)","[(10, 11, 0), (10, 10, 0), (11, 10, 0), (12, 10, 0)]"
"(11, 5)","[(4, 7, 0), (3, 7, 0), (3, 8, 0), (3, 9, 0), (3, 10, 0)]"
"(23, 19)","[(9, 2, 0), (9, 3, 0), (10, 3, 0), (10, 4, 0), (11, 4, 0)]"
"(14, 12)","[(13, 5, 0), (13, 6, 0), (12, 6, 0), (11, 6, 0), (11, 7, 0)]"
"(16, 11)","[(2, 4, 0), (2, 5, 0), (2, 6, 0), (3, 6, 0), (4, 6, 0), (4, 7, 0)]"
"(13, 14)","[(16, 7, 0), (15, 7, 0), (14, 7, 0), (14, 6, 0), (14, 5, 0), (13, 5, 0)]"
"(18, 12)","[(9, 4, 0), (9, 5, 0), (9, 6, 0), (9, 7, 0), (10, 7, 0), (11, 7, 0)]"
"(12, 13)","[(11, 7, 0), (12, 7, 0), (13, 7, 0), (13, 8, 0), (14, 8, 0), (15, 8, 0), (16, 8, 0), (16, 7, 0)]"
"(10, 24)","[(1, 7, 0), (1, 6, 0), (1, 5, 0), (1, 4, 0), (0, 4, 0), (0, 3, 0), (0, 2, 0), (0, 1, 0), (1, 1, 0)]"
"(17, 22)","[(6, 4, 0), (5, 4, 0), (4, 4, 0), (3, 4, 0), (3, 3, 0), (2, 3, 0), (2, 2, 0)]"
"(9, 19)","[(8, 8, 0), (8, 7, 0), (8, 6, 0), (8, 5, 0), (8, 4, 0), (8, 4, 1), (9, 4, 1), (10, 4, 1), (11, 4, 1), (11, 4, 0)]"
"(11, 21)","[(4, 7, 0), (5, 7, 0), (5, 6, 0), (5, 5, 0), (4, 5, 0), (3, 5, 0), (3, 5, 1), (2, 5, 1), (1, 5, 1), (1, 4, 1), (1, 3, 1), (1, 3, 0)]"
"(23, 9)","[(9, 2, 0), (8, 2, 0), (8, 3, 0), (7, 3, 0), (7, 4, 0), (7, 5, 0), (7, 6, 0), (7, 7, 0), (7, 8, 0), (8, 8, 0)]"
"(15, 7)","[(16, 5, 0), (15, 5, 0), (15, 6, 0), (15, 6, 1), (14, 6, 1), (14, 7, 1), (14, 8, 1), (14, 9, 1), (14, 10, 1), (14, 10, 0)]"
"(16, 5)","[(2, 4, 0), (2, 4, 1), (3, 4, 1), (4, 4, 1), (4, 5, 1), (4, 6, 1), (3, 6, 1), (3, 7, 1), (3, 8, 1), (3, 9, 1), (3, 10, 1), (3, 10, 0)]"
"(15, 8)","[(16, 5, 0), (16, 6, 0), (17, 6, 0), (17, 7, 0), (17, 8, 0), (17, 9, 0), (16, 9, 0), (15, 9, 0), (14, 9, 0), (13, 9, 0), (12, 9, 0)]"
"(1, 16)","[(1, 11, 0), (2, 11, 0), (2, 11, 1), (2, 10, 1), (2, 9, 1), (1, 9, 1), (1, 8, 1), (1, 7, 1), (1, 6, 1), (0, 6, 1), (0, 5, 1), (0, 4, 1), (1, 4, 1), (1, 4, 0), (2, 4, 0)]"
"(6, 18)","[(12, 10, 0), (12, 10, 1), (11, 10, 1), (10, 10, 1), (9, 10, 1), (9, 9, 1), (9, 8, 1), (9, 7, 1), (9, 6, 1), (9, 5, 1), (9, 5, 2), (9, 4, 2), (10, 4, 2), (10, 4, 1), (10, 4, 0), (9, 4, 0)]"
"(15, 6)","[(16, 5, 0), (16, 5, 1), (15, 5, 1), (14, 5, 1), (13, 5, 1), (12, 5, 1), (12, 6, 1), (12, 7, 1), (12, 8, 1), (11, 8, 1), (11, 9, 1), (11, 9, 2), (11, 10, 2), (12, 10, 2), (12, 11, 2), (12, 11, 1), (12, 11, 0), (12, 10, 0)]"
"(23, 11)","[(9, 2, 0), (9, 1, 0), (8, 1, 0), (7, 1, 0), (6, 1, 0), (5, 1, 0), (4, 1, 0), (4, 2, 0), (4, 3, 0), (4, 3, 1), (5, 3, 1), (5, 4, 1), (5, 5, 1), (5, 6, 1), (5, 7, 1), (4, 7, 1), (4, 7, 0)]"
"(25, 13)","[(12, 1, 0), (12, 2, 0), (12, 3, 0), (13, 3, 0), (14, 3, 0), (15, 3, 0), (16, 3, 0), (16, 4, 0), (17, 4, 0), (17, 5, 0), (18, 5, 0), (18, 6, 0), (18, 7, 0), (18, 7, 1), (17, 7, 1), (16, 7, 1), (16, 7, 0)]"
